"","nombre_curso","genero","periodo","curso","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento"
"26743","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,46,61,"DESARROLLO DE SOFTWARE",1988
"26744","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,61,77,"DESARROLLO DE SOFTWARE",1988
"26745","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,45,63,"DESARROLLO DE SOFTWARE",1991
"26746","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,40,61,"DESARROLLO DE SOFTWARE",1989
"26747","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,39,56,"DESARROLLO DE SOFTWARE",1990
"26748","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,52,73,"DESARROLLO DE SOFTWARE",1990
"26749","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,36,52,"DESARROLLO DE SOFTWARE",1991
"26750","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,55,74,"DESARROLLO DE SOFTWARE",1990
"26751","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,36,36,"DESARROLLO DE SOFTWARE",1982
"26752","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,0,0,"DESARROLLO DE SOFTWARE",1989
"26753","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,34,34,"DESARROLLO DE SOFTWARE",1972
"26754","ANALISIS Y DISE\O DE SISTEMAS 2",2,5,785,2015,2012,59,81,"DESARROLLO DE SOFTWARE",1993
"26755","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,0,0,"DESARROLLO DE SOFTWARE",1991
"26756","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,41,54,"DESARROLLO DE SOFTWARE",1993
"26757","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,58,74,"DESARROLLO DE SOFTWARE",1992
"26758","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,59,82,"DESARROLLO DE SOFTWARE",1989
"26759","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,46,65,"DESARROLLO DE SOFTWARE",1994
"26760","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2015,2012,61,79,"DESARROLLO DE SOFTWARE",1995
"26761","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2012,65,83,"DESARROLLO DE SOFTWARE",1990
"26762","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,61,82,"DESARROLLO DE SOFTWARE",1994
"26763","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,61,81,"DESARROLLO DE SOFTWARE",1993
"26764","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,69,87,"DESARROLLO DE SOFTWARE",1993
"26765","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,61,79,"DESARROLLO DE SOFTWARE",1993
"26766","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,68,90,"DESARROLLO DE SOFTWARE",1993
"26767","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,63,85,"DESARROLLO DE SOFTWARE",1987
"26768","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,72,93,"DESARROLLO DE SOFTWARE",1994
"26769","ANALISIS Y DISE\O DE SISTEMAS 2",2,6,785,2015,2012,64,86,"DESARROLLO DE SOFTWARE",1994
"26770","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,56,78,"DESARROLLO DE SOFTWARE",1993
"26771","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,60,78,"DESARROLLO DE SOFTWARE",1991
"26772","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,55,77,"DESARROLLO DE SOFTWARE",1994
