"","curso","nombre_curso","genero","periodo","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento","semestre","creditos","obligaroriedad"
"36098",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2014,50,63,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36099",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,0,0,"CIENCIAS DE LA COMPUTACION",1997,5,3,"Si"
"36100",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2015,61,77,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36101",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2014,43,66,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36102",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,31,31,"CIENCIAS DE LA COMPUTACION",1988,5,3,"Si"
"36103",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,44,61,"CIENCIAS DE LA COMPUTACION",1989,5,3,"Si"
"36104",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2014,57,74,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36105",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,32,32,"CIENCIAS DE LA COMPUTACION",1992,5,3,"Si"
"36106",964,"ORGANIZACION COMPUTACIONAL",2,2,2016,2012,46,63,"CIENCIAS DE LA COMPUTACION",1990,5,3,"Si"
"36107",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2013,0,0,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36108",964,"ORGANIZACION COMPUTACIONAL",2,5,2017,2015,41,49,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36109",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2014,56,77,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36110",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2015,52,66,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36111",964,"ORGANIZACION COMPUTACIONAL",2,2,2016,2014,59,80,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36112",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,51,61,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36113",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2014,0,0,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36114",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,25,25,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36115",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2013,43,48,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36116",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,0,0,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36117",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,37,37,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36118",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,22,22,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36119",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2013,48,67,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36120",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2015,50,73,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36121",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2014,48,70,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36122",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,42,61,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36123",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2014,57,76,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36124",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,53,74,"CIENCIAS DE LA COMPUTACION",1989,5,3,"Si"
"36125",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,48,64,"CIENCIAS DE LA COMPUTACION",1981,5,3,"Si"
"36126",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2014,54,77,"CIENCIAS DE LA COMPUTACION",1997,5,3,"Si"
"36127",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,46,66,"CIENCIAS DE LA COMPUTACION",1989,5,3,"Si"
"36128",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2013,46,54,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36129",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2012,45,61,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36130",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2013,38,47,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36131",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2013,46,61,"CIENCIAS DE LA COMPUTACION",1992,5,3,"Si"
"36132",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2013,51,70,"CIENCIAS DE LA COMPUTACION",1992,5,3,"Si"
"36133",964,"ORGANIZACION COMPUTACIONAL",1,2,2016,2015,50,75,"CIENCIAS DE LA COMPUTACION",1992,5,3,"Si"
"36134",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,0,0,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36135",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2013,19,19,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36136",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,22,22,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36137",964,"ORGANIZACION COMPUTACIONAL",2,5,2017,2013,35,35,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36138",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,0,0,"CIENCIAS DE LA COMPUTACION",1997,5,3,"Si"
"36139",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,45,64,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36140",964,"ORGANIZACION COMPUTACIONAL",1,5,2017,2015,29,29,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36141",964,"ORGANIZACION COMPUTACIONAL",2,6,2017,2014,48,67,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
