nombre_curso,genero_1masc_2feme,periodo,curso,año,año_ingreso_a_la_carrera,zona,nota_total,nombre_area,año_nacimiento
ECONOMIA,1,1,14,2012,2009,55,69,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2009,57,69,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2000,44,61,METODOLOGIA DE SISTEMAS,1981
ECONOMIA,1,1,14,2012,2008,46,64,METODOLOGIA DE SISTEMAS,1981
ECONOMIA,1,1,14,2012,2006,58,80,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,1,1,14,2012,2008,48,64,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2009,42,61,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2009,62,75,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2006,40,56,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,2,1,14,2012,2010,66,86,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2009,17,17,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2009,42,51,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2004,45,56,METODOLOGIA DE SISTEMAS,1984
ECONOMIA,1,1,14,2012,2007,38,51,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2007,48,67,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,1995,50,67,METODOLOGIA DE SISTEMAS,1977
ECONOMIA,1,1,14,2012,2009,54,71,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2008,42,61,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2008,52,68,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2010,48,61,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2000,56,66,METODOLOGIA DE SISTEMAS,1981
ECONOMIA,2,1,14,2012,2008,0,0,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2007,19,19,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,2,1,14,2012,2005,41,55,METODOLOGIA DE SISTEMAS,1984
ECONOMIA,2,1,14,2012,2006,58,70,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2010,54,72,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2009,52,64,METODOLOGIA DE SISTEMAS,1971
ECONOMIA,2,1,14,2012,2009,42,56,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2006,36,48,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,1,1,14,2012,2010,57,79,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,2,1,14,2012,2008,57,75,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2010,53,70,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2010,48,63,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2007,42,49,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2008,46,55,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2012,2008,49,65,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,1,14,2012,2008,43,55,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2008,48,61,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2008,47,61,METODOLOGIA DE SISTEMAS,1990
